#separator:comma
#html:false
亡くなる,なくなる To pass away
殆ど,ほとんど Almost
無くなる,なくなる To be lost
踊る,おどる To dance
揺れる,ゆれる To sway
立てる,たてる To stand up
受付,うけつけ Reception
押入れ,おしいれ Closet
ご馳走,ごちそう Feast
髭,ひげ Beard
酷い,ひどい Terrible
痩せる,やせる To lose weight
沸く,わく To boil
お祝い,おいわい Celebration
治る,なおる To heal
けれど,けれど However
それほど,それほど Not that much
仰る,おっしゃる To say (respectful)
付く,つく To attach
ご覧になる,ごらんになる To see (respectful)
お金持ち,おかねもち Wealthy person
お見舞い,おみまい Get-well visit
ちっとも,ちっとも Not at all
やっと,やっと Finally
可笑しい,おかしい Funny
掏摸,すり Pickpocket
しっかり,しっかり Firmly
お祭り,おまつり Festival
都市,とし City
たまに,たまに Occasionally
すっかり,すっかり Completely
すっと,すっと Smoothly
どんどん,どんどん Rapidly
はっきり,はっきり Clearly
